NAME_BT,NAME1,BRAND1,NAME2,BRAND2,NAME3,BRAND3,NAME4,BRAND4
XIAOMI SOUNDBAR 2.0(1B),TURKCELL SET 횥ST횥 KUTU,TURKCELL,,,,,,
,PHILIPS DVD-PLAYER,PHILIPS,HD+,,,,,
,SKY SET-TOP BOX,SKY,SONOS ARC,SONOS,,,,
LG SN7CY(C1),,,,,,,,
,LG NS70TY,LG,,,,,,
,HDMI 1,,,,,,,
,AV,,,,,,,
,KPN DECODER,KPN,,,,,,
,HDMI 3,,,,,,,
,SKY Q,SKY Q,SONOS ARC,SONOS,,,,
,TV IN WOONKAME,ODIDO,,,,,,
,TELENETTVBOX,TELENET,,,,,,
,ORANGE FIBRE OPTIQUE BO횓TIER D횋CODEUR /BOX INTERNET,ORANGE FIBRE OPTIQUE,LG S40T,LG,,,,
E-3052(DA),HDMI 1,,,,,,,
,HD+,,,,,,,
,UBP-X700/K,SONY,,,,,,
,SKY X SET-TOP-BOX,SKY X,,,,,,
,LG S40TR,LG,,,,,,
HISENSE AX3100G(A9),,,,,,,,
,HDMI 3,,,,,,,
,HDMI 2,,,,,,,
,HDMI 1,,HDMI 3,,HD+,,,
,XBOX,,APPLE TV,,SKY Q,,,
,WI-FI PREMIUM+,ADB,,,,,,
,HDMI 2,,HT-SBW202,,,,,
,XBOX ONE GAME CONSOLE,XBOX ONE,,,,,,
,PS3 沕?卍?? 磨碼万?,PS3,HDMI 2,,,,,
TEUFEL BOOMSTER GO(F1),XIAOMI BOX,XIAOMI,,,,,,
,LG S95TR,LG,,,,,,
,BD PLAYER,SAMSUNG,CONNECT TV DE,SAMSUNG,BOSE SMART SB,BOSE,,
,HDMI 1,,,,,,,
,LG S90TY,,,,,,,
,VODAFONE TV,VODAFONE,,,,,,
,SKY Q,SKY Q(LONDON),,,,,,
,BD SYSTEM,,BD SYSTEM,,,,,
,HDMI 1,,HDMI 2,,,,,
,TURKCELL SET 횥ST횥 KUTU,TURKCELL,,,,,,
LG NS60TR(7C),,,,,,,,
,CINEMA SB170,JBL,DESCODIFICADOR,,,,,
,LG DS77TY,LG,GBQUAD4K,,HD+,,,
,FIRE TV STICK,AMAZON,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
赳????鬼 鬼龜??揆?赳 ???鬼(89),PLAYSTATION 5,PS5,YANDEX.STATION,,,,,
,HDMI 2,,,,,,,
,HDMI 1,,HDMI 2,,,,,
,TV SMART 4K BO,,,,,,,
,,CANAL+ POLSKA,,,,,,
JBL PARTYBOX ON-THE-GO(9F),AMAZON FIRETV,AMAZON,HDMI 3,,,,,
JBL BAR 5.1(46),HDMI 2,,,,,,,
,HDMI 1,,,,,,,
,LG DS60TR,LG,CHROMECAST,,,,,
,ARC ULTRA,SONOS,APPLE TV,APPLE,,,,
,BOSE SOUND BAR,BOSE,FREEVIEW SET-TOP BOX,FREEVIEW,LG DVD PLAYER,LG,,
,SKY Q,SKY Q(YORKSHIRE),,,,,,
,HT-CT790,SONY,HT-CT790,SONY,HD+,,,
,CHROMECAST,,HD+,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,MEO BOX,MEO,,,,,,
,BEIN 寞?碼万 ?? 碼?魔娩??邈,BEIN,HDMI 3,,,,,
,XBOX 360 HERN횒 KONZOLE,XBOX 360,BD-HDD COMBO,SAMSUNG,,,,
,AMAZON FIRETV,,,,,,,
,CANAL+ APP,,,,,,,
,MAGENTATV ONE,DEUTSCHE TELEKOM,,,,,,
,VIP1113,LATTELECOM,XIAOMI TV BOX,XIAOMI,,,,
,DIGITURK SET 횥ST횥 KUTU,DIGITURK,,,,,,
ZAPI2022(86),,,,,,,,
LG_SPEAKER_USC9S_7198(D5),SKY Q,SKY,LG USC9S,,,,,
,VODAFONE TV,VODAFONE,HD+,,,,,
,HDMI 1,,,,,,,
,LG CHANNELS,,,,,,,
JBL BOOMBOX 3 WI-FI KAROL(84),4K ULTRABOX+,CANAL+ POLSKA,,,,,,
,SONOS BEAM,SONOS,,,,,,
,HDMI 1,,,,,,,
,AMAZON FIRE?T,AMAZON,,,,,,
,APPLE TV,APPLE,AMAZON FIRETV,,,,,
,XBOX GAME CONSOLE,XBOX,,,,,,
,HD+,,,,,,,
,HDMI 2,,,,,,,
,HDMI 1,,,,,,,
MDR-ZX330BT(A5),SOUNDBAR,,,,,,,
,HDMI 1,,HD+,,,,,
,NOW TV,NOW TV BY SKY,,,,,,
,FIRE TV STICK,,,,,,,
,SKY,SKY,LG USC9S,LG,,,,
,PLAYSTATION 5,PS5,,,,,,
,SKY Q,SKY Q(WALES),LG USE6S,LG,,,,
,HD+,,,,,,,
,XBOX ONE GAME CONSOLE,XBOX ONE,,,,,,
,FIRE TV STICK,,,,,,,
,TV?DEL SAL?N,,,,,,,
AIRPODS DE JO횄O PEDRO(D8),LG S70TY,LG,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,EVOBOX 4K,DARK,,,,,,
,PLAYSTATION 5,PS5,TELEWIZOR W SA,PLAY,,,,
,BEIN BO횓TIER D횋CODEUR /BOX INTERNET,BEIN,,,,,,
HT-SF150(02),AMAZON FIRE T,,,,,,,
BP MS46BT(C6),,,,,,,,
,PLAYSTATION 5,PS5,,,,,,
,CDV DECODER,CDV,,,,,,
,HDMI 4,,,,,,,
,AV RECEIVER,DENON,AVR-X2700H,DENON,,,,
,HDMI 1,,MY TV OTT,MY TV,,,,
,AMAZON FIRE?T,AMAZON,PLAYSTATION 5,PS5,M10 V3,,,
,SKY Q,SKY X,,,,,,
,HDMI 1,,,,,,,
,HDMI 2,,,,,,,
,HDMI 3,,,,,,,
,HDMI 1,,,,,,,
